Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Image Gallery URLs,Attached File S3 Key,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,List The Domain Name Your Team Has Registered With .Tech During This Hackathon,Agreement,Prize Category Agreement,Which Of The Following Ai Tools Did You Use This Weekend?,Did You Implement A Generative Ai Model Or Api In Your Hack This Weekend?,"If You Are Submitting To The Best Use Of Gemma 4 Prize Category, Please Provide Your Project Number."
Cortexia,"",Draft,Pending,Project overview,04/25/2026 00:00:28,"","",,"","","","",,University of California - Irvine,3,"","","","","",""
Agent Arena,"",Draft,Pending,Project overview,04/25/2026 00:01:07,"","",,"","","","",,"Pomona College, University of California - Riverside",1,"","","","","",""
Untitled,"",Draft,Pending,Manage team,04/25/2026 00:15:52,"","",,"","","","",,California Institute of Technology,3,"","","","","",""
Project,"",Draft,Pending,Project overview,04/25/2026 00:28:52,"","",,"","","","",,California Institute of Technology,1,"","","","","",""
Untitled,"",Draft,Pending,Manage team,04/25/2026 00:30:41,"","",,"","","","",,California Institute of Technology,1,"","","","","",""
Kleos Ai,https://hacktech-by-caltech-2026.devpost.com/submissions/1002299-kleos-ai,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 00:47:41,"## Inspiration

KleosAI was inspired by a simple observation: most students don’t overspend because they are careless, but because money leaks quietly through small, repeated decisions—subscriptions, digital payments, and impulse buys. Existing finance apps focus heavily on tracking and restriction, which often feels boring or overwhelming. We wanted to build something that understands _why_ people spend the way they do and helps them make better decisions before regret sets in.

## What it does

KleosAI is an intelligent financial companion that helps students understand, manage, and improve their spending behavior. It provides a real-time financial snapshot through metrics like a Stability Index, monthly surplus, and safety buffer. Features such as the Smart Purchase Validator assess whether a purchase is viable or risky, while AI-driven insights analyze spending patterns, track goals, detect subscriptions, and guide users toward healthier financial habits.

## How we built it

We built KleosAI as a full-stack web application using modern frontend technologies for a clean, responsive interface and cloud-based services for authentication and data handling. The system combines manual and automated transaction tracking, AI-powered analysis for insights and recommendations, and dynamic visualizations to make financial data easy to understand. The focus throughout development was keeping the experience intuitive, fast, and student-friendly.

## Challenges we ran into

One of the biggest challenges was balancing simplicity with meaningful insights—showing enough data to be useful without overwhelming users. Designing features like the purchase validator required careful thought to ensure recommendations felt supportive rather than restrictive. Integrating automated transaction inputs, handling multiple currencies, and maintaining a consistent user experience across features also required thoughtful iteration.

## Accomplishments that we're proud of

We’re proud of building a product that goes beyond basic expense tracking and genuinely addresses financial behavior. Creating features like the Stability Index, Smart Purchase Validator, and AI mentor-style insights helped us turn abstract financial concepts into practical, everyday tools. We’re also proud of delivering a polished, cohesive UI that makes finance feel approachable rather than intimidating.

## What we learned

Through building KleosAI, we learned how deeply behavior influences financial decision-making and how important thoughtful UX is in shaping user habits. We gained hands-on experience integrating AI-driven insights into real-world applications, managing state and data flow in a complex frontend, and collaborating effectively as a team under time constraints.

## What’s next for KleosAI

Next, we aim to enhance KleosAI with deeper personalization, smarter behavioral predictions, and expanded automation. Planned improvements include more advanced AI recommendations, better long-term habit tracking, richer visual analytics, and broader financial integrations. Our goal is to evolve KleosAI into a trusted, everyday financial coach for students worldwide.","https://github.com/Hashtag-Fr/Kleos-AI, http://kleosai-delta.vercel.app",https://youtu.be/7IrDzYVHM6w,"","","","firebase, react, typescript, talwind",,"",0,"","","","","",""
Untitled,"",Draft,Pending,Manage team,04/25/2026 00:55:23,"","",,"","","","",,"Kent Place, California Institute of Technology",1,"","","","","",""
~Wavelength~,"",Draft,Pending,Project overview,04/25/2026 00:59:13,"## Inspiration

Friendships can't be forged solely on the basis of MBTI test results or shared interests. Sharing similar demeanor, mannerisms, values, and more while meeting at the right place at the right time can make two establish a deep rapport, as if by magic.

We want to create a platform for such friendships to be founded, where the most unlikely matches become the longest-lasting relationships. Using artificial intelligence to analyze a short conversation, we aim to analyze and utilize the traits that are overlooked in friendship-forming applications: the way we speak, the way we don't speak, and the traits we may not know we have.

## What it does

For everyone who is in need of a friend, or just wants to add some spice in their life by meeting someone new, ~Wavelength~ is a friendship matching app that unveils your true personality through a conversational environment to find others who will just _click_ with you on a deeper level. Based off the YC startup ""Dating Ring"" (Winter 2014), ~Wavelength~ uses artificial intelligence to analyze how humans think and interact in order to determine their next best friend.

## How we built it

## Challenges we ran into

## Accomplishments that we're proud of

## What we learned

## What's next for ~Wavelength~

\*\* Please note: None of the above was AI generated \*\*","",,"","","Best Use of AI - Mac Mini with Apple M4 chip, Best Creativity - Logitech MX MASTER 4 Mice, YC x HackTech - YC Interview, IFM x Hacktech - Best Use of K2 Think V2, Sideshift x HackTech - Cash Prize + Interview, [MLH] Best Use of Gemma 4 - Google Swag Kits, [MLH] Best Use of ElevenLabs - Wireless Earbuds","",,"San Jose State University, Evergreen Valley, Santa Clara University",2,"",yes,yes,"Anthropic, Gemma, and Gemini","",""
TBD,"",Draft,Pending,Project overview,04/25/2026 01:04:43,"","",,"","","","",,University of Pennsylvania,1,"","","","","",""
Untitled,"",Draft,Pending,Manage team,04/25/2026 01:11:43,"","",,"","","","",,Pasadena City College,3,"","","","","",""
