Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Image Gallery URLs,Attached File S3 Key,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,List The Domain Name Your Team Has Registered With .Tech During This Hackathon,Agreement,Prize Category Agreement,Which Of The Following Ai Tools Did You Use This Weekend?,Did You Implement A Generative Ai Model Or Api In Your Hack This Weekend?,"If You Are Submitting To The Best Use Of Gemma 4 Prize Category, Please Provide Your Project Number."
Lunar Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099001-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:07:00,"## Inspiration
We wanted to improve on-campus life for students.

## What it does
A demo for table scheduling — project #1.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"Best Use of AI - Mac Mini with Apple M4 chip, IFM x Hacktech - Best Use of K2 Think V2, [MLH] Best Use of Solana - Ledger Nano S Plus","react, node.js, supabase, tailwind",,MIT,1,,,,,,
Quantum Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099002-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:14:00,"## Inspiration
We wanted to improve accessibility for students.

## What it does
A demo for table scheduling — project #2.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-2,,,,"Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard, Sideshift x HackTech - Cash Prize + Interview, [MLH] Best Use of Auth0 AI Agents - Wireless Headphones","python, fastapi, react, postgresql",,UC Berkeley,2,,,,,,
Swift Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099003-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:21:00,"## Inspiration
We wanted to improve public transit for students.

## What it does
A demo for table scheduling — project #3.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Best Creativity - Logitech MX MASTER 4 Mice, Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment, [MLH] Best Use of Backboard - Tile Essentials Pack","flutter, firebase, mapbox",,UCLA,3,,,,,,
Silent Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099004-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:28:00,"## Inspiration
We wanted to improve health literacy for students.

## What it does
A demo for table scheduling — project #4.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-4,,,,"Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker, Listen Labs x HackTech: Simulate Humanity, [MLH] Best Use of Vultr - Portable Screens","vue, nuxt, planetscale, clerk",,Stanford,0,,,,,,
Civic Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099005-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:35:00,"## Inspiration
We wanted to improve open science for students.

## What it does
A demo for table scheduling — project #5.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"YC x HackTech - YC Interview, [MLH] Best Use of Gemma 4 - Google Swag Kits, [MLH] Best .Tech Domain Name - Desktop Microphone","svelte, deno, turso, drizzle",,Georgia Tech,1,,,,,,
Fuzzy Relay,https://hacktech-by-caltech-2026.devpost.com/submissions/1099006-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 11:42:00,"## Inspiration
We wanted to improve creative coding for students.

## What it does
A demo for table scheduling — project #6.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-6,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Ironsite x HackTech - Cash Prize, [MLH] Best Use of ElevenLabs - Wireless Earbuds, Loveable x HackTech - Best use of Lovable","next.js, typescript, vercel, tailwind",,UT Austin,2,,,,,,
Hyper Cortex,https://hacktech-by-caltech-2026.devpost.com/submissions/1099007-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 12:49:00,"## Inspiration
We wanted to improve local communities for students.

## What it does
A demo for table scheduling — project #7.

## How we built it
Hacked together in a weekend with lots of coffee.",,,,,"IFM x Hacktech - Best Use of K2 Think V2, [MLH] Best Use of Solana - Ledger Nano S Plus, Best Use of AI - Mac Mini with Apple M4 chip","react, node.js, supabase, tailwind",,Waterloo,3,,,,,,
Amber Vessel,https://hacktech-by-caltech-2026.devpost.com/submissions/1099008-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 13:56:00,"## Inspiration
We wanted to improve sustainability for students.

## What it does
A demo for table scheduling — project #8.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-8,,,,"Sideshift x HackTech - Cash Prize + Interview, [MLH] Best Use of Auth0 AI Agents - Wireless Headphones, Cybersecurity/Safety - NuPhy Air 75 v3 Keyboard","python, fastapi, react, postgresql",,Carnegie Mellon,0,,,,,,
Nimbus Pulse,https://hacktech-by-caltech-2026.devpost.com/submissions/1099009-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 14:03:00,"## Inspiration
We wanted to improve on-campus life for students.

## What it does
A demo for table scheduling — project #9.

## How we built it
Hacked together in a weekend with lots of coffee.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,"Palohouse x HackTech - 10-day stay @ Palo Alto Hackerhouse + $20k SAFE investment, [MLH] Best Use of Backboard - Tile Essentials Pack, Best Creativity - Logitech MX MASTER 4 Mice","flutter, firebase, mapbox",,Caltech,1,,,,,,
Prism Ledger,https://hacktech-by-caltech-2026.devpost.com/submissions/1099010-fake,Submitted (Gallery/Visible),Pending,Submit,04/25/2026 10:10:00,"## Inspiration
We wanted to improve accessibility for students.

## What it does
A demo for table scheduling — project #10.

## How we built it
Hacked together in a weekend with lots of coffee.",https://example.com/demo-10,,,,"Listen Labs x HackTech: Simulate Humanity, [MLH] Best Use of Vultr - Portable Screens, Best ""Not so sexy"" - WHOOP 5.0 One Health and Fitness Tracker","vue, nuxt, planetscale, clerk",,MIT,2,,,,,,
